id,job_id,source,experience_years,education,gender,applied_date,city,expected_salary
C20000,JR1000,Orgánico,9,Posgrado,F,2024-08-10 03:34:20.572993,CABA,1933050
C20001,JR1000,Referido,3,Terciario,M,2024-07-26 03:34:20.572993,GBA Norte,1527166
C20002,JR1000,LinkedIn,2,Terciario,M,2024-07-28 03:34:20.572993,CABA,1773002
C20003,JR1000,Agencia,1,Posgrado,F,2024-07-19 03:34:20.572993,CABA,1649843
C20004,JR1000,LinkedIn,4,Universitario,X,2024-08-14 03:34:20.572993,CABA,1520536
C20005,JR1000,LinkedIn,5,Universitario,F,2024-08-14 03:34:20.572993,GBA Sur,1742512
C20006,JR1000,LinkedIn,3,Posgrado,F,2024-08-09 03:34:20.572993,CABA,1395381
C20007,JR1000,LinkedIn,6,Universitario,F,2024-08-09 03:34:20.572993,Córdoba,1433059
C20008,JR1000,LinkedIn,5,Universitario,F,2024-08-10 03:34:20.572993,GBA Sur,1465506
C20009,JR1000,Portal Empleo,4,Universitario,M,2024-08-22 03:34:20.572993,GBA Norte,1675007
C20010,JR1000,LinkedIn,2,Terciario,M,2024-07-21 03:34:20.572993,CABA,1722987
C20011,JR1000,Referido,3,Universitario,F,2024-07-27 03:34:20.572993,CABA,1535060
C20012,JR1000,LinkedIn,0,Bootcamp,M,2024-08-25 03:34:20.572993,GBA Norte,1691729
C20013,JR1001,LinkedIn,5,Terciario,F,2025-04-24 03:34:20.572993,GBA Norte,4467558
C20014,JR1001,LinkedIn,4,Terciario,M,2025-04-17 03:34:20.572993,CABA,3852418
C20015,JR1001,Orgánico,4,Universitario,F,2025-04-11 03:34:20.572993,CABA,3598849
C20016,JR1001,LinkedIn,5,Terciario,M,2025-04-08 03:34:20.572993,Rosario,4769879
C20017,JR1001,Portal Empleo,5,Posgrado,F,2025-04-28 03:34:20.572993,CABA,4104274
C20018,JR1001,LinkedIn,4,Terciario,M,2025-04-08 03:34:20.572993,GBA Sur,3659170
C20019,JR1001,LinkedIn,4,Universitario,M,2025-05-04 03:34:20.572993,Rosario,3874020
C20020,JR1001,LinkedIn,0,Universitario,X,2025-04-22 03:34:20.572993,GBA Sur,3247379
C20021,JR1001,LinkedIn,3,Posgrado,F,2025-05-07 03:34:20.572993,CABA,3701857
C20022,JR1001,LinkedIn,4,Universitario,M,2025-04-05 03:34:20.572993,CABA,4077057
C20023,JR1001,LinkedIn,2,Universitario,M,2025-04-20 03:34:20.572993,Rosario,4121743
C20024,JR1001,Agencia,6,Bootcamp,X,2025-05-07 03:34:20.572993,CABA,3493518
C20025,JR1001,LinkedIn,2,Terciario,M,2025-04-12 03:34:20.572993,GBA Norte,4173141
C20026,JR1001,Referido,5,Universitario,M,2025-05-08 03:34:20.572993,GBA Norte,3909067
C20027,JR1002,LinkedIn,4,Bootcamp,M,2025-08-30 03:34:20.572993,GBA Norte,2843060
C20028,JR1002,Referido,6,Universitario,F,2025-08-26 03:34:20.572993,Rosario,3076354
C20029,JR1002,Referido,6,Universitario,M,2025-08-30 03:34:20.572993,Rosario,2936776
C20030,JR1002,LinkedIn,6,Terciario,M,2025-08-31 03:34:20.572993,CABA,2767220
C20031,JR1002,LinkedIn,0,Terciario,M,2025-08-04 03:34:20.572993,GBA Norte,2692623
C20032,JR1002,Portal Empleo,7,Terciario,M,2025-08-24 03:34:20.572993,GBA Norte,2571697
C20033,JR1002,Agencia,8,Bootcamp,M,2025-08-01 03:34:20.572993,Rosario,2481072
C20034,JR1002,LinkedIn,3,Bootcamp,M,2025-08-26 03:34:20.572993,CABA,2585352
C20035,JR1002,LinkedIn,5,Universitario,M,2025-08-29 03:34:20.572993,Córdoba,2935194
C20036,JR1002,Orgánico,2,Universitario,F,2025-09-07 03:34:20.572993,GBA Sur,2713089
C20037,JR1002,LinkedIn,0,Terciario,M,2025-09-05 03:34:20.572993,Córdoba,2403062
C20038,JR1002,Referido,2,Universitario,F,2025-08-09 03:34:20.572993,CABA,2638519
C20039,JR1002,LinkedIn,3,Universitario,F,2025-09-01 03:34:20.572993,Córdoba,3027949
C20040,JR1003,LinkedIn,3,Universitario,M,2024-02-27 03:34:20.572993,CABA,2866027
C20041,JR1003,Referido,2,Posgrado,M,2024-03-01 03:34:20.572993,GBA Sur,2614048
C20042,JR1003,Referido,2,Universitario,M,2024-02-08 03:34:20.572993,Córdoba,3016251
C20043,JR1003,LinkedIn,4,Universitario,M,2024-02-14 03:34:20.572993,Córdoba,2982902
C20044,JR1003,Referido,2,Posgrado,M,2024-03-01 03:34:20.572993,GBA Norte,2790727
C20045,JR1003,Agencia,5,Universitario,F,2024-02-08 03:34:20.572993,CABA,3018275
C20046,JR1003,Referido,6,Universitario,F,2024-02-29 03:34:20.572993,CABA,3010603
C20047,JR1003,LinkedIn,10,Universitario,M,2024-01-29 03:34:20.572993,CABA,2957317
C20048,JR1003,Referido,7,Universitario,M,2024-02-29 03:34:20.572993,CABA,3246656
C20049,JR1003,Portal Empleo,5,Universitario,M,2024-02-01 03:34:20.572993,CABA,3004875
C20050,JR1003,Agencia,2,Bootcamp,F,2024-02-25 03:34:20.572993,CABA,2929296
C20051,JR1003,Portal Empleo,5,Universitario,M,2024-02-14 03:34:20.572993,CABA,2974743
C20052,JR1004,LinkedIn,5,Bootcamp,M,2024-08-30 03:34:20.572993,CABA,3924016
