id,job_id_x,source,experience_years,education,gender,applied_date,city,expected_salary,employee_id,candidate_id,job_id_y,start_date,time_to_fill_days,time_to_hire_days,employee_id_perf,job_id,retained_90d,rating_6m
C20000,JR1000,Orgánico,9,Posgrado,F,2024-08-10 03:34:20.572993,CABA,1933050,,,,,,,,,,0.0
C20001,JR1000,Referido,3,Terciario,M,2024-07-26 03:34:20.572993,GBA Norte,1527166,,,,,,,,,,0.0
C20002,JR1000,LinkedIn,2,Terciario,M,2024-07-28 03:34:20.572993,CABA,1773002,,,,,,,,,,0.0
C20003,JR1000,Agencia,1,Posgrado,F,2024-07-19 03:34:20.572993,CABA,1649843,,,,,,,,,,0.0
C20004,JR1000,LinkedIn,4,Universitario,X,2024-08-14 03:34:20.572993,CABA,1520536,,,,,,,,,,0.0
C20005,JR1000,LinkedIn,5,Universitario,F,2024-08-14 03:34:20.572993,GBA Sur,1742512,,,,,,,,,,0.0
C20006,JR1000,LinkedIn,3,Posgrado,F,2024-08-09 03:34:20.572993,CABA,1395381,,,,,,,,,,0.0
C20007,JR1000,LinkedIn,6,Universitario,F,2024-08-09 03:34:20.572993,Córdoba,1433059,,,,,,,,,,0.0
C20008,JR1000,LinkedIn,5,Universitario,F,2024-08-10 03:34:20.572993,GBA Sur,1465506,,,,,,,,,,0.0
C20009,JR1000,Portal Empleo,4,Universitario,M,2024-08-22 03:34:20.572993,GBA Norte,1675007,,,,,,,,,,0.0
C20010,JR1000,LinkedIn,2,Terciario,M,2024-07-21 03:34:20.572993,CABA,1722987,,,,,,,,,,0.0
C20011,JR1000,Referido,3,Universitario,F,2024-07-27 03:34:20.572993,CABA,1535060,,,,,,,,,,0.0
C20012,JR1000,LinkedIn,0,Bootcamp,M,2024-08-25 03:34:20.572993,GBA Norte,1691729,,,,,,,,,,0.0
C20013,JR1001,LinkedIn,5,Terciario,F,2025-04-24 03:34:20.572993,GBA Norte,4467558,,,,,,,,,,0.0
C20014,JR1001,LinkedIn,4,Terciario,M,2025-04-17 03:34:20.572993,CABA,3852418,,,,,,,,,,0.0
C20015,JR1001,Orgánico,4,Universitario,F,2025-04-11 03:34:20.572993,CABA,3598849,,,,,,,,,,0.0
