candidate_id,stage,stage_date,recruiter
C20000,applied,2024-08-15 03:34:20.572993,L. Torres
C20001,applied,2024-08-04 03:34:20.572993,L. Torres
C20001,screening,2024-08-05 03:34:20.572993,L. Torres
C20002,applied,2024-07-31 03:34:20.572993,L. Torres
C20002,screening,2024-08-04 03:34:20.572993,L. Torres
C20003,applied,2024-07-22 03:34:20.572993,L. Torres
C20003,screening,2024-07-24 03:34:20.572993,L. Torres
C20004,applied,2024-08-18 03:34:20.572993,L. Torres
C20004,screening,2024-08-20 03:34:20.572993,L. Torres
C20005,applied,2024-08-19 03:34:20.572993,L. Torres
C20005,screening,2024-08-25 03:34:20.572993,L. Torres
C20006,applied,2024-08-17 03:34:20.572993,L. Torres
C20006,screening,2024-08-29 03:34:20.572993,L. Torres
C20007,applied,2024-08-21 03:34:20.572993,L. Torres
C20008,applied,2024-08-14 03:34:20.572993,L. Torres
C20008,screening,2024-08-18 03:34:20.572993,L. Torres
C20009,applied,2024-08-28 03:34:20.572993,L. Torres
C20009,screening,2024-08-30 03:34:20.572993,L. Torres
C20010,applied,2024-07-26 03:34:20.572993,L. Torres
C20011,applied,2024-07-30 03:34:20.572993,L. Torres
C20011,screening,2024-08-01 03:34:20.572993,L. Torres
C20011,interview_tech,2024-08-04 03:34:20.572993,L. Torres
C20011,interview_mgr,2024-08-05 03:34:20.572993,L. Torres
C20012,applied,2024-09-03 03:34:20.572993,L. Torres
C20012,screening,2024-09-11 03:34:20.572993,L. Torres
C20013,applied,2025-05-02 03:34:20.572993,L. Torres
C20014,applied,2025-04-19 03:34:20.572993,L. Torres
C20014,screening,2025-04-25 03:34:20.572993,L. Torres
C20014,interview_tech,2025-04-27 03:34:20.572993,L. Torres
C20014,interview_mgr,2025-04-30 03:34:20.572993,L. Torres
C20015,applied,2025-04-20 03:34:20.572993,L. Torres
C20015,screening,2025-04-21 03:34:20.572993,L. Torres
C20016,applied,2025-04-13 03:34:20.572993,L. Torres
C20016,screening,2025-04-14 03:34:20.572993,L. Torres
C20017,applied,2025-05-01 03:34:20.572993,L. Torres
C20018,applied,2025-04-14 03:34:20.572993,L. Torres
C20018,screening,2025-04-22 03:34:20.572993,L. Torres
C20018,interview_tech,2025-04-26 03:34:20.572993,L. Torres
C20019,applied,2025-05-12 03:34:20.572993,L. Torres
C20019,screening,2025-05-17 03:34:20.572993,L. Torres
C20020,applied,2025-04-29 03:34:20.572993,L. Torres
C20020,screening,2025-05-03 03:34:20.572993,L. Torres
C20020,interview_tech,2025-05-04 03:34:20.572993,L. Torres
C20020,interview_mgr,2025-05-08 03:34:20.572993,L. Torres
C20021,applied,2025-05-17 03:34:20.572993,L. Torres
